,text_lemma
0,bMissRuff89 Charlotte appreciate frustrating impacted current situation Can asxe2x80xa6 httpstco323WOZTrtX
1,bBerk_On_A_Bike Ah perfect glad hear Let know anything else 247 Stay safe Kev
2,bMichaelBasham Michael deal specifically Barclaycard UK friends AskBarclaysUS bexe2x80xa6 httpstcosCUqLKDXG9
3,bmarried_mumma Bex maintenance Barclaycard part app time mexe2x80xa6 httpstcoKIgpVsQDmB
4,bTahir_Ahmed10 Hello Tahir late reply Your Father call get account closedxe2x80xa6 httpstcoYCBmTHDyLq
5,bJadeward10 Jade reply You also dispute transaction online right herexe2x80xa6 httpstcoQeRt8BsHcX
6,bDMusafer Hey Dhanish maintenance app time message Have detail since reappear Rach
7,bLauraa__Marie Laura hope boyfriend able get sort web page numxe2x80xa6 httpstcon9o3xHeNe4
8,bFiestaman87 Oh Great glad theyve refund correct amount Stephen Give shout neexe2x80xa6 httpstcogmZb2NtQnC
9,btripc0de Michael reply wait speak phone Are wanxe2x80xa6 httpstco6qkbk1UR5V
10,bJennife09331885 It longer would expect would reach back Currys thaxe2x80xa6 httpstco8oZrU1ekUj
11,bdanbashamCAFC Daniel reply wait speak phone Youxe2x80xa6 httpstcoCH2PJkP5EG
12,bRSJN45 Robin reply experience youve call Can lexe2x80xa6 httpstcoz3qtZS94wZ
13,bbpsportchat Brian reply You request transfer credit balance baxe2x80xa6 httpstcoXymfxajg6N
14,bscuj1 John reply You make payment youd like wont affect agreemxe2x80xa6 httpstcovXAeJLC8pX
15,bBerk_On_A_Bike reply Did manage sort cant reply yoxe2x80xa6 httpstcoV7iKTCVFt4
16,bgirlmostlik3ly Do think youll struggle make payment Sophie Kristos
17,bfan1liapi Fani Sorry get back hope youre keep well The team inundaxe2x80xa6 httpstco7ZqblSTUsg
18,bHelen01530301 Helen Sorry get back hope youre keep well Could pleaxe2x80xa6 httpstcoej8HeE89GM
19,babdelbigmac Please call dispute team best answer quickly possible The number isxe2x80xa6 httpstcoK9bpwVBaoK
20,bbikerbabe108sc1 youxe2x80x99d like refund another account enternYour account namenYour account numbernYour accoxe2x80xa6 httpstcoz0EHNIrwQH
21,bbikerbabe108sc1 Enter title xe2x80x98Credit balance refundxe2x80x99nIf youxe2x80x99d like refund transfer accountxe2x80xa6 httpstcoNqOWIOpXed
22,bbikerbabe108sc1 dont form Youd send Secure Message follow stxe2x80xa6 httpstcoN5oJgLMzXW
23,bmonstrousfemme reply wait speak phone Did youxe2x80xa6 httpstcojkryk9LPUN
24,bnaeem_raja Naeem Sorry get back hope youre keep well The team inunxe2x80xa6 httpstcounIJM3kjEW
25,bViniaLovell Vinia reply wait speak We less staff answerxe2x80xa6 httpstcoPwXQNPWPEx
