,text_lower
0,"b'@missruff89 hi charlotte, i appreciate this is frustrating we have been impacted by the current situation. can i as\xe2\x80\xa6 https://t.co/323woztrtx'"
1,"b""@berk_on_a_bike ah perfect, glad to hear this. let me know if you need anything else at all, we're here 24/7. stay safe. -kev"""
2,"b'@michaelbasham hi michael, we deal specifically with barclaycard in the uk, but our friends @askbarclaysus will be\xe2\x80\xa6 https://t.co/scuqlkdxg9'"
3,"b'@married_mumma hi bex, we were doing some maintenance on the barclaycard part of the app during the time of your me\xe2\x80\xa6 https://t.co/kigpvsqdmb'"
4,"b'@tahir_ahmed10 hello tahir, sorry for the late reply. your father will need to call us to get the account closed.\xe2\x80\xa6 https://t.co/ycbmthdylq'"
5,"b'@jadeward10 hi jade, sorry for the delay in my reply. you can also dispute a transaction online right here:\xe2\x80\xa6 https://t.co/qert8bshcx'"
6,"b'@dmusafer hey dhanish, we were doing some maintenance with the app during the time of your message. have the details since reappeared? rach'"
7,"b'@lauraa__marie hi laura, i hope your boyfriend was able to get this sorted. if not, here is our web page with a num\xe2\x80\xa6 https://t.co/n9o3xhene4'"
8,"b""@fiestaman87 oh! great - i'm glad they've refunded you the correct amount then, stephen. give us a shout if you nee\xe2\x80\xa6 https://t.co/gmzb2ntqnc"""
9,"b'@tripc0de hi michael, sorry for the delay in my reply and for the wait to speak with us over the phone. are you wan\xe2\x80\xa6 https://t.co/6qkbk1ur5v'"
10,b'@jennife09331885 it is longer than what i would have expected.  i would reach back out to currys and you can do tha\xe2\x80\xa6 https://t.co/8ozru1ekuj'
11,"b'@danbashamcafc hi daniel, sorry for the delay in my reply and for the wait to speak with us over the phone too. you\xe2\x80\xa6 https://t.co/ch2pjkp5eg'"
12,"b""@rsjn45 hi robin, sorry for the delay in my reply and for the experience you've had when calling. can you dm and le\xe2\x80\xa6 https://t.co/z3qtzs94wz"""
13,"b'@bpsportchat hi brian, sorry for the delay in my reply. you can now request that we transfer your credit balance ba\xe2\x80\xa6 https://t.co/xymfxajg6n'"
14,"b""@scuj1 hi john, sorry for the delay in my reply. you can make payments if you'd like and it won't affect the agreem\xe2\x80\xa6 https://t.co/vxaejlc8px"""
15,"b""@berk_on_a_bike hi there, sorry for the delay in my reply. did you manage to sort this? if you can't reply, then yo\xe2\x80\xa6 https://t.co/v7iktcvft4"""
16,"b""@girlmostlik3ly do you think you'll struggle to make the payment, sophie? kristos"""
17,"b""@fan1liapi hi there, fani. sorry for the delay getting back to you, i hope you're keeping well. the team are inunda\xe2\x80\xa6 https://t.co/7zqblstusg"""
18,"b""@helen01530301 hi there, helen. sorry for the delay getting back to you, i hope you're keeping well. could you plea\xe2\x80\xa6 https://t.co/ej8hee89gm"""
19,"b'@abdelbigmac please call our disputes team, who will do their best to answer as quickly as possible.  the number is\xe2\x80\xa6 https://t.co/k9bpwvbaok'"
20,"b'@bikerbabe108sc1 if you\xe2\x80\x99d like the refund to another account, enter\nyour account name\nyour account number\nyour acco\xe2\x80\xa6 https://t.co/z0ehnirwqh'"
21,b'@bikerbabe108sc1 enter the title \xe2\x80\x98credit balance refund\xe2\x80\x99\nif you\xe2\x80\x99d like the refund to be transferred to the account\xe2\x80\xa6 https://t.co/nqowiopxed'
22,"b""@bikerbabe108sc1 hi there, we don;t have a form for this. you'd need to send a secure message by following these st\xe2\x80\xa6 https://t.co/n5ojglmzxw"""
23,"b'@monstrousfemme hi there, sorry for the delay in my reply and for the wait to speak with us over the phone. did you\xe2\x80\xa6 https://t.co/jkryk9lpun'"
24,"b""@naeem_raja hi there, naeem. sorry for the delay getting back to you, i hope you're keeping well. the team are inun\xe2\x80\xa6 https://t.co/unijm3kjew"""
