,text_punct
0,bMissRuff89 Hi Charlotte I appreciate this is frustrating we have been impacted by the current situation Can I asxe2x80xa6 httpstco323WOZTrtX
1,bBerk_On_A_Bike Ah perfect glad to hear this Let me know if you need anything else at all were here 247 Stay safe Kev
2,bMichaelBasham Hi Michael we deal specifically with Barclaycard in the UK but our friends AskBarclaysUS will bexe2x80xa6 httpstcosCUqLKDXG9
3,bmarried_mumma Hi Bex we were doing some maintenance on the Barclaycard part of the app during the time of your mexe2x80xa6 httpstcoKIgpVsQDmB
4,bTahir_Ahmed10 Hello Tahir sorry for the late reply Your Father will need to call us to get the account closedxe2x80xa6 httpstcoYCBmTHDyLq
5,bJadeward10 Hi Jade sorry for the delay in my reply You can also dispute a transaction online right herexe2x80xa6 httpstcoQeRt8BsHcX
6,bDMusafer Hey Dhanish we were doing some maintenance with the app during the time of your message Have the details since reappeared Rach
7,bLauraa__Marie Hi Laura I hope your boyfriend was able to get this sorted If not here is our web page with a numxe2x80xa6 httpstcon9o3xHeNe4
8,bFiestaman87 Oh Great  Im glad theyve refunded you the correct amount then Stephen Give us a shout if you neexe2x80xa6 httpstcogmZb2NtQnC
9,btripc0de Hi Michael sorry for the delay in my reply and for the wait to speak with us over the phone Are you wanxe2x80xa6 httpstco6qkbk1UR5V
10,bJennife09331885 It is longer than what I would have expected  I would reach back out to Currys and you can do thaxe2x80xa6 httpstco8oZrU1ekUj
11,bdanbashamCAFC Hi Daniel sorry for the delay in my reply and for the wait to speak with us over the phone too Youxe2x80xa6 httpstcoCH2PJkP5EG
12,bRSJN45 Hi Robin sorry for the delay in my reply and for the experience youve had when calling Can you DM and lexe2x80xa6 httpstcoz3qtZS94wZ
13,bbpsportchat Hi Brian sorry for the delay in my reply You can now request that we transfer your credit balance baxe2x80xa6 httpstcoXymfxajg6N
14,bscuj1 Hi John sorry for the delay in my reply You can make payments if youd like and it wont affect the agreemxe2x80xa6 httpstcovXAeJLC8pX
15,bBerk_On_A_Bike Hi there sorry for the delay in my reply Did you manage to sort this If you cant reply then yoxe2x80xa6 httpstcoV7iKTCVFt4
16,bgirlmostlik3ly Do you think youll struggle to make the payment Sophie Kristos
17,bfan1liapi Hi there Fani Sorry for the delay getting back to you I hope youre keeping well The team are inundaxe2x80xa6 httpstco7ZqblSTUsg
18,bHelen01530301 Hi there Helen Sorry for the delay getting back to you I hope youre keeping well Could you pleaxe2x80xa6 httpstcoej8HeE89GM
19,babdelbigmac Please call our disputes team who will do their best to answer as quickly as possible  The number isxe2x80xa6 httpstcoK9bpwVBaoK
20,bbikerbabe108sc1 If youxe2x80x99d like the refund to another account enternYour account namenYour account numbernYour accoxe2x80xa6 httpstcoz0EHNIrwQH
21,bbikerbabe108sc1 Enter the title xe2x80x98Credit balance refundxe2x80x99nIf youxe2x80x99d like the refund to be transferred to the accountxe2x80xa6 httpstcoNqOWIOpXed
22,bbikerbabe108sc1 Hi there we dont have a form for this Youd need to send a Secure Message by following these stxe2x80xa6 httpstcoN5oJgLMzXW
23,bmonstrousfemme Hi there sorry for the delay in my reply and for the wait to speak with us over the phone Did youxe2x80xa6 httpstcojkryk9LPUN
24,bnaeem_raja Hi there Naeem Sorry for the delay getting back to you I hope youre keeping well The team are inunxe2x80xa6 httpstcounIJM3kjEW
25,bViniaLovell Hi Vinia sorry for the delay in my reply and for the wait to speak with us We have less staff answerxe2x80xa6 httpstcoPwXQNPWPEx
26,brickbalbert Thats great to hear Rick if you need anything else please let us know Lisa
27,bThom41686633 Hi there Thom Sorry for the delay getting back to you We are responding to messages but the team axe2x80xa6 httpstcoq5orGnueJr
28,bnotmewhome Thank you we appreciate it  Kristos
